Gene ID	Old ID
UCDDS831_g168.t1	g168.t1
UCDDS831_g169.t1	g169.t1
UCDDS831_g170.t1	g170.t1
UCDDS831_g171.t1	g171.t1
UCDDS831_g172.t1	g172.t1
UCDDS831_g173.t1	g173.t1
UCDDS831_g174.t1	g174.t1
UCDDS831_g175.t1	g175.t1
UCDDS831_g176.t1	g176.t1
UCDDS831_g177.t1	g177.t1
UCDDS831_g178.t1	g178.t1
UCDDS831_g179.t1	g179.t1
UCDDS831_g180.t1	g180.t1
UCDDS831_g181.t1	g181.t1
UCDDS831_g182.t1	g182.t1
UCDDS831_g183.t1	g183.t1
UCDDS831_g184.t1	g184.t1
UCDDS831_g185.t1	g185.t1
UCDDS831_g186.t1	g186.t1
UCDDS831_g187.t1	g187.t1
UCDDS831_g188.t1	g188.t1
UCDDS831_g189.t1	g189.t1
UCDDS831_g190.t1	g190.t1
UCDDS831_g191.t1	g191.t1
UCDDS831_g192.t1	g192.t1
UCDDS831_g193.t1	g193.t1
UCDDS831_g194.t1	g194.t1
UCDDS831_g195.t1	g195.t1
UCDDS831_g196.t1	g196.t1
UCDDS831_g197.t1	g197.t1
UCDDS831_g198.t1	g198.t1
UCDDS831_g199.t1	g199.t1
UCDDS831_g200.t1	g200.t1
UCDDS831_g201.t1	g201.t1
UCDDS831_g202.t1	g202.t1
UCDDS831_g203.t1	g203.t1
UCDDS831_g204.t1	g204.t1
UCDDS831_g205.t1	g205.t1
UCDDS831_g206.t1	g206.t1
UCDDS831_g207.t1	g207.t1
UCDDS831_g208.t1	g208.t1
UCDDS831_g209.t1	g209.t1
UCDDS831_g210.t1	g210.t1
UCDDS831_g211.t1	g211.t1
UCDDS831_g212.t1	g212.t1
UCDDS831_g213.t1	g213.t1
UCDDS831_g214.t1	g214.t1
UCDDS831_g215.t1	g215.t1
UCDDS831_g216.t1	g216.t1
UCDDS831_g217.t1	g217.t1
UCDDS831_g218.t1	g218.t1
UCDDS831_g219.t1	g219.t1
UCDDS831_g220.t1	g220.t1
UCDDS831_g221.t1	g221.t1
UCDDS831_g222.t1	g222.t1
UCDDS831_g223.t1	g223.t1
UCDDS831_g224.t1	g224.t1
UCDDS831_g225.t1	g225.t1
UCDDS831_g226.t1	g226.t1
UCDDS831_g227.t1	g227.t1
UCDDS831_g228.t1	g228.t1
UCDDS831_g229.t1	g229.t1
UCDDS831_g230.t1	g230.t1
UCDDS831_g231.t1	g231.t1
UCDDS831_g232.t1	g232.t1
UCDDS831_g233.t1	g233.t1
UCDDS831_g234.t1	g234.t1
UCDDS831_g235.t1	g235.t1
UCDDS831_g236.t1	g236.t1
UCDDS831_g237.t1	g237.t1
UCDDS831_g238.t1	g238.t1
UCDDS831_g239.t1	g239.t1
UCDDS831_g240.t1	g240.t1
UCDDS831_g241.t1	g241.t1
UCDDS831_g242.t1	g242.t1
UCDDS831_g243.t1	g243.t1
UCDDS831_g244.t1	g244.t1
UCDDS831_g245.t1	g245.t1
UCDDS831_g246.t1	g246.t1
UCDDS831_g247.t1	g247.t1
UCDDS831_g248.t1	g248.t1
UCDDS831_g249.t1	g249.t1
UCDDS831_g250.t1	g250.t1
UCDDS831_g251.t1	g251.t1
UCDDS831_g252.t1	g252.t1
UCDDS831_g253.t1	g253.t1
UCDDS831_g254.t1	g254.t1
UCDDS831_g255.t1	g255.t1
UCDDS831_g256.t1	g256.t1
UCDDS831_g257.t1	g257.t1
UCDDS831_g258.t1	g258.t1
UCDDS831_g259.t1	g259.t1
UCDDS831_g260.t1	g260.t1
UCDDS831_g261.t1	g261.t1
UCDDS831_g262.t1	g262.t1
UCDDS831_g263.t1	g263.t1
UCDDS831_g264.t1	g264.t1
UCDDS831_g265.t1	g265.t1
UCDDS831_g266.t1	g266.t1
UCDDS831_g267.t1	g267.t1
UCDDS831_g268.t1	g268.t1
UCDDS831_g269.t1	g269.t1
UCDDS831_g270.t1	g270.t1
UCDDS831_g271.t1	g271.t1
UCDDS831_g272.t1	g272.t1
UCDDS831_g273.t1	g273.t1
UCDDS831_g274.t1	g274.t1
UCDDS831_g275.t1	g275.t1
UCDDS831_g276.t1	g276.t1
UCDDS831_g277.t1	g277.t1
UCDDS831_g278.t1	g278.t1
UCDDS831_g279.t1	g279.t1
UCDDS831_g280.t1	g280.t1
UCDDS831_g281.t1	g281.t1
UCDDS831_g282.t1	g282.t1
UCDDS831_g283.t1	g283.t1
UCDDS831_g284.t1	g284.t1
UCDDS831_g285.t1	g285.t1
UCDDS831_g286.t1	g286.t1
UCDDS831_g287.t1	g287.t1
UCDDS831_g288.t1	g288.t1
UCDDS831_g289.t1	g289.t1
UCDDS831_g290.t1	g290.t1
UCDDS831_g291.t1	g291.t1
UCDDS831_g292.t1	g292.t1
UCDDS831_g293.t1	g293.t1
UCDDS831_g294.t1	g294.t1
UCDDS831_g295.t1	g295.t1
UCDDS831_g296.t1	g296.t1
UCDDS831_g297.t1	g297.t1
UCDDS831_g298.t1	g298.t1
UCDDS831_g299.t1	g299.t1
UCDDS831_g300.t1	g300.t1
UCDDS831_g301.t1	g301.t1
UCDDS831_g302.t1	g302.t1
UCDDS831_g303.t1	g303.t1
UCDDS831_g304.t1	g304.t1
UCDDS831_g305.t1	g305.t1
UCDDS831_g306.t1	g306.t1
UCDDS831_g307.t1	g307.t1
UCDDS831_g308.t1	g308.t1
